gas_param,opcode,category,client,runtime_ms,exact,rounded,current,loss_round,rate_round,loss_current,rate_current,below_1,is_base,count,weight
OPCODE_MUL,MUL,Arithmetic,besu,9.880714279903596e-06,0.9880714279903595,1,5,0.011928572009640481,0.011928572009640481,4.011928572009641,0.8023857144019282,True,True,1946471825.0,0.006716588710439772
OPCODE_SAR,SAR,Bitwise,besu,1.981376210885392e-05,1.981376210885392,2,3,0.018623789114607936,0.009311894557303968,1.018623789114608,0.33954126303820265,False,True,345834642.0,0.0011933535447584403
PRECOMPILE_IDENTITY_BASE,IDENTITY,Precompile,erigon,0.0009541732234979,95.41732234979,96,15,0.5826776502100017,0.006069558856354185,0.0,0.0,False,True,,
PRECOMPILE_RIPEMD160_BASE,RIPEMD160,Precompile,erigon,0.0009343797938943,93.43797938943,94,600,0.5620206105700021,0.00597894266563832,506.56202061057,0.84427003435095,False,True,,
OPCODE_EXP_BASE,EXP,Arithmetic,besu,0.0010938695063995,109.38695063995,110,10,0.6130493600499989,0.005573176000454536,0.0,0.0,False,True,181359862.0,0.0006258090078627854
PRECOMPILE_ECADD,ECADD,Precompile,erigon,0.0010753805466295,107.53805466295,108,150,0.46194533704999685,0.004277271639351822,42.46194533705,0.28307963558033333,False,True,,
PRECOMPILE_BLS_G1ADD,BLS12_G1ADD,BLS12-381,besu,0.0017431065945297,174.31065945297,175,375,0.6893405470300138,0.003939088840171507,200.68934054703,0.53517157479208,False,True,,
PRECOMPILE_BLAKE2F_BASE,BLAKE2F,Precompile,erigon,0.0009380582892892,93.80582892892001,94,0,0.19417107107999243,0.002065649692340345,,,False,True,,
PRECOMPILE_SHA256_BASE,SHA256,Precompile,erigon,0.0009584424454663,95.84424454663,96,60,0.15575545337000563,0.001622452639270892,0.0,0.0,False,True,,
PRECOMPILE_BLS_G2ADD,BLS12_G2ADD,BLS12-381,besu,0.0021167881474208,211.67881474208,212,600,0.32118525792000696,0.0015150248015094669,388.32118525792,0.6472019754298667,False,True,,
PRECOMPILE_ECMUL,ECMUL,Precompile,reth,0.0083921249191521,839.2124919152101,840,6000,0.7875080847899198,0.0009375096247499046,5160.78750808479,0.8601312513474649,False,True,,
OPCODE_RETURNDATACOPY_BASE,RETURNDATACOPY,Call context,besu,3.996526151306159e-05,3.996526151306159,4,3,0.0034738486938410418,0.0008684621734602604,0.0,0.0,False,True,122828521.0,0.0004238379651185624
PRECOMPILE_BLS_G1MAP,BLS12_MAP_FP_TO_G1,BLS12-381,erigon,0.010372295419439,1037.2295419439,1038,5500,0.7704580561000967,0.0007422524625241779,4462.7704580561,0.8114128105556546,False,True,,
PRECOMPILE_P256VERIFY,P256VERIFY,Precompile,erigon,0.0140501979167221,1405.01979167221,1406,6900,0.9802083277900238,0.00069716097282363,5494.98020832779,0.7963739432359116,False,True,,
PRECOMPILE_ECRECOVER,ECRECOVER,Precompile,erigon,0.0084646062304449,846.46062304449,847,3000,0.5393769555099652,0.0006368086841912222,2153.53937695551,0.71784645898517,False,True,,
PRECOMPILE_BLS_G2MAP,BLS12_MAP_FP_TO_G2,BLS12-381,erigon,0.0448965111249839,4489.65111249839,4490,23800,0.3488875016100792,7.770322975725594e-05,19310.348887501612,0.8113591969538493,False,True,,
PRECOMPILE_ECPAIRING_BASE,ECPAIRING,Precompile,reth,0.0824659741485765,8246.59741485765,8247,45000,0.40258514235028997,4.881595032742694e-05,36753.40258514235,0.81674227966983,False,True,,
PRECOMPILE_POINT_EVALUATION,POINT_EVALUATION,Precompile,nethermind,0.2343618309341056,23436.18309341056,23437,50000,0.8169065894398955,3.4855424731829816e-05,26563.81690658944,0.5312763381317888,False,True,,
PRECOMPILE_ECPAIRING_PER_POINT,ECPAIRING,Precompile,nethermind,0.1171688871420714,11716.888714207138,11717,34000,0.11128579286196327,9.497805996583022e-06,22283.11128579286,0.6553856260527312,False,False,,
